identificacion,nombre_cientifico,reino,filo,clase,orden,familia,genero,epiteto_especifico,estado_taxonomico,estado_de_amenaza,coordenadas
9755425,Cora aturucoa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,aturucoa,Aceptado,CR,[]
9715924,Cora barbifera,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,barbifera,Aceptado,CR,[]
8226242,Cora byssoidea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,byssoidea,Aceptado,CR,"[(4.715602, -73.289429), (4.74895, -73.237613)]"
8382898,Cora casanarensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,casanarensis,Aceptado,VU,[]
9647299,Cora corelleslia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,corelleslia,Aceptado,EN,[]
9750769,Cora davibogotana,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davibogotana,Aceptado,EN,[]
9791942,Cora davicrinita,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davicrinita,Aceptado,VU,[]
9765776,Cora davidia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davidia,Aceptado,VU,[]
8073680,Cora fimbriata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,fimbriata,Aceptado,EN,[]
9673507,Cora gigantea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,gigantea,Aceptado,EN,[]
9719088,Cora hafecesweorthensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,hafecesweorthensis,Aceptado,CR,[]
7622921,Cora hirsuta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,hirsuta,Aceptado,CR,[]
8257450,Cora inversa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,inversa,Aceptado,VU,"[(4.18775, -72.6445)]"
9647630,Cora leslactuca,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,leslactuca,Aceptado,CR,[]
9692519,Cora pastorum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,pastorum,Aceptado,CR,[]
9809159,Cora pikynasa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,pikynasa,Aceptado,CR,[]
9684858,Cora putumayensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,putumayensis,Aceptado,CR,[]
9735768,Cora quillacinga,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,quillacinga,Aceptado,EN,[]
9731169,Cora rothesiorum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,rothesiorum,Aceptado,EN,[]
7434097,Cora setosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,setosa,Aceptado,CR,[]
9818434,Cora udebeceana,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,udebeceana,Aceptado,CR,[]
7550471,Cora undulata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,undulata,Aceptado,CR,[]
9686567,Cora verjonensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,verjonensis,Aceptado,CR,[]
2555264,Lepidostroma calocerum,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Lepidostromataceae,Lepidostroma,calocerum,Aceptado,EN,"[(4.566637, -75.75012), (11.141773, -74.004719)]"
2555266,Multiclavula coronilla,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Multiclavula,coronilla,Aceptado,CR,"[(11.141773, -74.004719)]"
10759556,Sulzbacheromyces chocoensis,Fungi,Basidiomycota,Agaricomycetes,Lepidostromatales,Lepidostromataceae,Sulzbacheromyces,chocoensis,Aceptado,CR,[]
10755851,Sulzbacheromyces tutunendo,Fungi,Basidiomycota,Agaricomycetes,Lepidostromatales,Lepidostromataceae,Sulzbacheromyces,tutunendo,Aceptado,CR,[]
2677189,Anomobryum clavicaule,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Anomobryum,clavicaule,Aceptado,VU,"[(4.816667, -75.366667)]"
2676853,Bryum sordidum,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,sordidum,Aceptado,EN,[]
2677101,Schizymenium pectinatum,Plantae,Bryophyta,Bryopsida,Bryales,Miniaceae,Schizymenium,pectinatum,Aceptado,VU,[]
166177197,Dicranella muralis,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella,muralis,Aceptado,VU,[]
5282123,Dicranella pusilla,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella,pusilla,Sinónimo,VU,[]
2675880,Pleuridium lindigianum,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Pleuridium,lindigianum,Aceptado,EN,"[(6.75, -75.5), (6.71861, -75.4825), (6.758333, -75.508333), (6.718611, -75.4825), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.3, -72.38), (5.12, -74.15)]"
2669836,Calyptrochaeta nutans,Plantae,Bryophyta,Bryopsida,Hookeriales,Daltoniaceae,Calyptrochaeta,nutans,Aceptado,EN,"[(5.391417, -73.254139), (5.391417, -73.254139), (4.583333, -74.3), (4.583333, -74.3)]"
2669459,Leskeodon paisa,Plantae,Bryophyta,Bryopsida,Hookeriales,Daltoniaceae,Leskeodon,paisa,Aceptado,CR,"[(5.69667, -75.2372), (5.696667, -75.237222), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333)]"
166183081,Lepidopilum wallisii,Plantae,Bryophyta,Bryopsida,Hookeriales,Pilotrichaceae,Lepidopilum,wallisii,Aceptado,CR,[]
166180589,Eurhynchium semitortum,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,semitortum,Aceptado,VU,[]
2681127,Trichosteleum mastopomatoides,Plantae,Bryophyta,Bryopsida,Hypnales,Sematophyllaceae,Trichosteleum,mastopomatoides,Aceptado,CR,"[(5.83333, -75.25), (5.833333, -75.25), (5.833333, -75.25), (5.83, -75.25), (5.83, -75.25)]"
166184134,Cyrto-hypnum arzobispoae,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Cyrto-hypnum,arzobispoae,Aceptado,VU,[]
2672195,Macromitrium tocaremae,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,tocaremae,Aceptado,VU,[]
5280289,Didymodon lindigii,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Didymodon,lindigii,Aceptado,VU,"[(4.59806, -74.07583), (4.59806, -74.07583)]"
5281474,Tayloria altorum,Plantae,Bryophyta,Bryopsida,Splachnales,Splachnaceae,Tayloria,altorum,Aceptado,CR,"[(4.71944, -73.8278), (4.719444, -73.827778)]"
2668960,Sphagnum angustifolium,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,angustifolium,Aceptado,EN,[]
2669264,Sphagnum antioquiense,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,antioquiense,Aceptado,CR,"[(6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5)]"
2669166,Sphagnum boomii,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,boomii,Aceptado,VU,[]
2669026,Sphagnum boyacanum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,boyacanum,Aceptado,CR,"[(6.0, -72.58), (6.0, -72.58), (6.0, -72.58)]"
4280823,Sphagnum capillaceum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,capillaceum,Sinónimo,VU,"[(4.70306, -73.8989), (4.703056, -73.898889)]"
2669192,Sphagnum cleefii,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,cleefii,Aceptado,CR,"[(5.72, -72.93), (5.72, -72.93), (5.72, -72.93)]"
2669085,Sphagnum curvatulum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,curvatulum,Aceptado,VU,"[(4.566667, -73.983333), (4.566667, -73.983333), (4.566667, -73.983333)]"
2669028,Sphagnum diblastoides,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,diblastoides,Aceptado,CR,"[(5.75, -75.233333), (5.75, -75.233333), (5.75, -75.23), (5.75, -75.23), (5.75, -75.23)]"
