,scientific_name,locations
32,Cyathea toroi,[]
33,Cyathea varians,"[(8.041667, -77.224694), (8.030722, -77.205306), (8.63333, -80.58333), (8.15833, -77.25), (9.23388, -79.375), (8.695, -80.476667), (8.527222, -81.139444), (9.233889, -79.375)]"
34,Cyathea werffii,"[(-4.25027, -78.65916), (-10.43277, -75.00583), (-10.43277, -75.00583), (-2.98194, -77.81194), (-2.973333, -77.826667), (-10.533333, -75.066667), (-9.0, -74.0), (-3.016, -78.166), (-2.833, -78.383), (-3.01666, -78.16666), (-2.83333, -78.38333), (-2.216, -77.75), (-2.21666, -77.75), (0.233, -78.783), (-2.183, -77.733), (-2.18333, -77.73333), (-4.116, -78.966), (-4.11666, -78.96666), (0.0, 0.0), (-3.0, -78.16666), (-4.0, -75.0), (-4.0, -75.0), (-4.0, -75.0)]"
35,Dicksonia stuebelii,"[(-6.2425, -77.5808), (-5.953056, -77.766111), (-5.953056, -77.766111), (-6.2425, -77.580833), (-10.299444, -75.61), (-10.299444, -75.61), (-10.299444, -75.61), (-6.16666, -77.66666), (-6.0931, -78.3322), (-6.093055, -78.332222), (-6.2167, -77.9), (-6.2167, -77.9)]"
36,Zamia montana,"[(6.774446, -76.133397), (5.702175, -75.261009), (6.763294, -76.052531), (6.74385, -76.29401), (6.75, -76.4), (6.75, -76.4), (6.75, -76.4), (6.75, -76.4)]"
37,Zamia oligodonta,"[(5.2252, -76.032288), (5.202583, -76.055123), (5.303952, -76.131834), (5.378441, -76.157009), (5.303057, -76.152046), (5.337436, -75.83214), (5.26031, -76.01354), (5.26031, -76.01354), (5.248139, -75.839984), (5.209256, -75.945078)]"
38,Zamia pyrophylla,"[(5.452516, -76.64991), (5.482039, -76.710921), (5.683333, -76.633333), (5.673327, -76.723395), (5.740916, -76.774818), (5.787078, -76.609478), (5.650882, -76.609741), (5.72545, -76.60953), (5.72545, -76.60953), (5.72545, -76.60953), (5.72545, -76.60953), (5.68375, -76.66275), (5.6932, -76.65144), (5.62491, -76.64507), (5.62491, -76.64507)]"
39,Zamia restrepoi,"[(7.80807, -76.090128), (8.062078, -76.128316), (7.88333, -76.35), (7.88333, -76.35), (7.883333, -76.35), (7.883333, -76.35), (7.883333, -76.35), (0.0, 0.0)]"
40,Zamia wallisii,"[(6.550194, -76.284722), (6.550194, -76.284722), (6.55, -76.316667), (6.55, -76.32), (6.80207, -76.2524), (6.71694, -76.4011), (6.80207, -76.2524), (6.802073, -76.252411), (6.716944, -76.401108)]"
41,Dendropanax glaberrimus,"[(1.2, -77.91664), (1.31667, -78.083333), (1.16028, -77.98689), (1.16028, -77.98689)]"
42,Oreopanax cyclophyllus,[]
43,Oreopanax gargantae,"[(7.3178, -72.7652)]"
44,Oreopanax hypargyreus,[]
45,Oreopanax killipii,"[(7.355556, -72.684167)]"
46,Oreopanax lawrancei,[]
47,Oreopanax niger,"[(1.254722, -77.272778)]"
48,Oreopanax sucrensis,"[(1.7925, -75.651389), (1.7925, -75.651389)]"
49,Oreopanax velutinus,[]
50,Schefflera sararensis,[]
